deltaTheta,June25a,June25b,June25c,June25d,June25e,June26a,June26b,June26c,June26d,June26e,June26f,June26g,June26h,June26i,June26j
-50.353,0.1262,0.1036,0.1,0.0976,0.0887,0.0736,0.0675,0.0601,0.052,0.0433,0.0345,0.0281,0.0221,0.015,0.0149
-50.038,0.1266,0.1039,0.1004,0.0979,0.0889,0.0739,0.0676,0.0602,0.0521,0.043,0.0343,0.0287,0.0223,0.0153,0.0155
-49.723,0.1273,0.1044,0.1011,0.098,0.0894,0.0744,0.0681,0.0604,0.0522,0.0432,0.0345,0.0291,0.0236,0.0174,0.0154
-49.408,0.1281,0.1047,0.1012,0.0983,0.0897,0.0747,0.0683,0.0608,0.0522,0.0434,0.0348,0.0281,0.0223,0.0146,0.0144
-49.094,0.1289,0.1056,0.1018,0.0988,0.0899,0.0746,0.0683,0.0605,0.0524,0.0435,0.0352,0.0282,0.0218,0.0147,0.015
-48.779,0.1295,0.1063,0.1024,0.0992,0.0901,0.0751,0.0686,0.0608,0.0527,0.0433,0.035,0.0285,0.022,0.0146,0.0148
-48.464,0.1306,0.1069,0.1028,0.0995,0.0905,0.0755,0.0689,0.0611,0.0528,0.0435,0.0348,0.029,0.0232,0.0164,0.0152
-48.15,0.1304,0.1073,0.103,0.1003,0.091,0.0759,0.0692,0.0614,0.0527,0.0435,0.035,0.0283,0.0227,0.0149,0.0146
-47.835,0.1317,0.1077,0.1033,0.101,0.0912,0.0759,0.0691,0.0612,0.053,0.0433,0.0355,0.0283,0.0218,0.0147,0.0151
-47.52,0.1324,0.1085,0.1037,0.1011,0.0915,0.0763,0.0695,0.0615,0.0531,0.0432,0.0351,0.0283,0.0219,0.0145,0.0148
-47.205,0.1331,0.1089,0.1043,0.1011,0.0921,0.0766,0.0698,0.0617,0.053,0.0436,0.035,0.0285,0.0225,0.0151,0.0147
-46.891,0.1341,0.1094,0.1046,0.1017,0.0925,0.0769,0.0698,0.0619,0.0531,0.0434,0.0351,0.028,0.0218,0.0144,0.0149
-46.576,0.135,0.1097,0.105,0.1026,0.0927,0.0771,0.0701,0.0618,0.0533,0.0435,0.0356,0.0283,0.0218,0.0147,0.0149
-46.261,0.1356,0.1101,0.1059,0.1031,0.0931,0.0774,0.0703,0.0621,0.0531,0.0433,0.0354,0.0283,0.0221,0.0144,0.0154
-45.947,0.1363,0.111,0.1065,0.1032,0.0938,0.0777,0.0706,0.0622,0.0534,0.0437,0.0352,0.0279,0.0219,0.015,0.0153
-45.632,0.1371,0.1114,0.1064,0.1033,0.0942,0.0779,0.0707,0.0624,0.0535,0.0437,0.0354,0.0277,0.0216,0.0143,0.0159
-45.317,0.1376,0.1117,0.1071,0.104,0.0945,0.0778,0.0707,0.0623,0.0539,0.0436,0.0355,0.028,0.0217,0.0147,0.0143
-45.003,0.1382,0.1127,0.1081,0.1044,0.0944,0.0783,0.0712,0.0626,0.0539,0.0437,0.0355,0.0281,0.0215,0.0142,0.0154
-44.688,0.1391,0.113,0.1085,0.1047,0.0948,0.0788,0.0713,0.063,0.0541,0.0439,0.0354,0.028,0.0221,0.0151,0.0162
-44.373,0.1396,0.1135,0.109,0.1051,0.0953,0.0791,0.0716,0.0631,0.0541,0.0442,0.0356,0.028,0.0216,0.0145,0.0163
-44.058,0.1402,0.1139,0.109,0.1056,0.0957,0.0792,0.0716,0.0633,0.054,0.0441,0.0356,0.0282,0.022,0.0149,0.0152
-43.744,0.1408,0.1145,0.1095,0.1062,0.0959,0.0792,0.0718,0.0632,0.0544,0.0441,0.0354,0.0283,0.0218,0.0143,0.0145
-43.429,0.142,0.1157,0.1102,0.1062,0.0959,0.0798,0.0722,0.0636,0.0544,0.0442,0.0354,0.0284,0.0218,0.0145,0.0151
-43.114,0.1438,0.1164,0.1106,0.1063,0.0967,0.0799,0.0723,0.0637,0.0543,0.0447,0.0358,0.0286,0.0225,0.0159,0.0148
-42.8,0.1446,0.1161,0.111,0.1065,0.0971,0.0802,0.0724,0.0637,0.0546,0.0446,0.0354,0.0282,0.0219,0.0147,0.0154
-42.485,0.1449,0.1165,0.1113,0.107,0.0974,0.0804,0.0727,0.0639,0.0551,0.0449,0.0352,0.0288,0.0223,0.0154,0.016
-42.17,0.1454,0.1165,0.1122,0.1077,0.0971,0.0809,0.0732,0.0643,0.0552,0.0448,0.0352,0.0288,0.0223,0.0148,0.0151
-41.856,0.1461,0.117,0.1122,0.108,0.0976,0.0814,0.0734,0.0647,0.0553,0.0448,0.0356,0.0293,0.0229,0.0167,0.0154
-41.541,0.1467,0.1176,0.1122,0.1082,0.0981,0.0816,0.0735,0.0648,0.055,0.0449,0.0356,0.0291,0.0234,0.0171,0.0148
-41.226,0.1473,0.1179,0.1124,0.1088,0.0984,0.0815,0.0734,0.0647,0.0554,0.045,0.0353,0.0286,0.0221,0.0147,0.016
-40.911,0.1477,0.1186,0.113,0.1089,0.0984,0.0814,0.0735,0.0647,0.0555,0.0451,0.0356,0.0289,0.0224,0.0151,0.0151
-40.597,0.1484,0.1188,0.1137,0.1091,0.0986,0.0817,0.0736,0.0648,0.0557,0.0448,0.0359,0.0295,0.0233,0.0171,0.0159
-40.282,0.1492,0.1189,0.114,0.1092,0.0989,0.0821,0.074,0.0652,0.0556,0.0451,0.0358,0.0295,0.024,0.0182,0.0154
-39.967,0.1496,0.119,0.1142,0.1096,0.0992,0.0822,0.074,0.0652,0.0556,0.0455,0.0361,0.0287,0.0227,0.0152,0.0154
-39.653,0.15,0.1198,0.115,0.1098,0.0994,0.0821,0.0742,0.065,0.056,0.0454,0.0357,0.029,0.0227,0.015,0.0151
-39.338,0.1509,0.1206,0.1153,0.11,0.0995,0.0827,0.0746,0.0657,0.0562,0.0451,0.036,0.0293,0.0226,0.0165,0.0153
-39.023,0.1515,0.1215,0.1155,0.1101,0.0996,0.0827,0.0747,0.0658,0.0562,0.0454,0.0363,0.0298,0.024,0.0184,0.0158
-38.709,0.1523,0.1225,0.1156,0.1102,0.0998,0.0828,0.0747,0.0659,0.0559,0.0456,0.0366,0.029,0.0234,0.0165,0.0147
-38.394,0.1542,0.123,0.1159,0.1106,0.0999,0.0827,0.0748,0.0658,0.0563,0.0457,0.0369,0.0288,0.0221,0.0148,0.0157
-38.079,0.1549,0.1215,0.1163,0.1109,0.0999,0.0831,0.0751,0.066,0.0565,0.0455,0.0363,0.0295,0.0228,0.0159,0.0155
-37.764,0.1533,0.1226,0.1167,0.1111,0.1003,0.0832,0.0754,0.0661,0.0566,0.0455,0.0365,0.0299,0.024,0.0184,0.0163
-37.45,0.1544,0.1231,0.1167,0.1113,0.1005,0.0833,0.0754,0.0663,0.0564,0.0456,0.0367,0.0296,0.024,0.0179,0.0152
-37.135,0.155,0.1237,0.1168,0.1117,0.1007,0.0835,0.0755,0.0663,0.0566,0.0456,0.0369,0.0289,0.0226,0.0149,0.0152
-36.82,0.1563,0.1238,0.1173,0.1117,0.1009,0.0835,0.0756,0.0663,0.0569,0.0458,0.0365,0.0292,0.0226,0.0154,0.0157
-36.506,0.1567,0.124,0.1176,0.112,0.1012,0.0838,0.0759,0.0666,0.057,0.0457,0.0367,0.0296,0.0237,0.0177,0.0175
-36.191,0.1574,0.1243,0.1178,0.1122,0.1014,0.0841,0.076,0.0668,0.057,0.046,0.0367,0.0296,0.0237,0.0178,0.0168
-35.876,0.1583,0.1244,0.118,0.1128,0.1015,0.0842,0.0762,0.0669,0.057,0.0462,0.0371,0.029,0.0231,0.0157,0.015
-35.561,0.1581,0.1229,0.1185,0.1128,0.1018,0.0844,0.0763,0.067,0.0572,0.0462,0.0369,0.0292,0.0223,0.015,0.0155
-35.247,0.1552,0.1249,0.1185,0.1129,0.1021,0.0846,0.0765,0.0673,0.0573,0.0463,0.0367,0.0295,0.0233,0.0171,0.0169
-34.932,0.1587,0.1259,0.1187,0.113,0.1025,0.0848,0.0768,0.0674,0.0575,0.0465,0.0371,0.0297,0.0237,0.0178,0.0172
-34.617,0.1596,0.1262,0.1188,0.1131,0.1025,0.0852,0.0768,0.0676,0.0575,0.0466,0.0374,0.0295,0.0238,0.0174,0.0152
-34.303,0.1606,0.1266,0.1194,0.1133,0.1025,0.0852,0.077,0.0677,0.058,0.0465,0.0371,0.0293,0.0223,0.0146,0.0152
-33.988,0.1615,0.1271,0.1198,0.1136,0.1028,0.0858,0.0775,0.0683,0.0581,0.0467,0.0368,0.0296,0.0232,0.0165,0.0167
-33.673,0.1619,0.1272,0.1198,0.1139,0.1031,0.0857,0.0775,0.0684,0.058,0.0472,0.037,0.0296,0.0238,0.0178,0.0179
-33.359,0.1622,0.1272,0.1197,0.1145,0.1033,0.0859,0.0776,0.0685,0.0583,0.0474,0.0372,0.0296,0.0235,0.0176,0.0163
-33.044,0.1626,0.1277,0.1196,0.1151,0.1038,0.0858,0.0777,0.0684,0.0587,0.0473,0.0372,0.0297,0.0231,0.0152,0.0148
-32.729,0.1629,0.1282,0.1199,0.1153,0.1041,0.0864,0.0784,0.0689,0.0587,0.0472,0.0371,0.0303,0.0233,0.0162,0.0164
-32.414,0.164,0.1285,0.1204,0.1156,0.1048,0.0867,0.0785,0.0691,0.0586,0.0472,0.0372,0.0302,0.024,0.0179,0.0178
-32.1,0.1645,0.1281,0.121,0.1157,0.1051,0.0865,0.0785,0.0692,0.0585,0.0478,0.0373,0.0299,0.0239,0.0181,0.0161
-31.785,0.1647,0.1279,0.1216,0.1163,0.1053,0.0867,0.0786,0.0692,0.0589,0.0478,0.0372,0.0297,0.0233,0.0166,0.0157
-31.47,0.1655,0.1278,0.1222,0.1164,0.1054,0.0869,0.079,0.0695,0.0594,0.048,0.0375,0.0298,0.0228,0.015,0.0145
-31.156,0.1667,0.1279,0.1226,0.1167,0.1054,0.0874,0.0794,0.07,0.0595,0.0479,0.0375,0.0297,0.0231,0.017,0.0146
-30.841,0.1667,0.13,0.1227,0.117,0.1061,0.0877,0.0796,0.0702,0.0596,0.0482,0.0377,0.0295,0.0228,0.0158,0.0137
-30.526,0.1667,0.1304,0.1227,0.1173,0.1063,0.0878,0.0796,0.0704,0.0596,0.0486,0.0376,0.0298,0.0228,0.0162,0.0141
-30.212,0.1673,0.1306,0.1233,0.1181,0.1067,0.0879,0.0797,0.0703,0.0603,0.0489,0.0375,0.0303,0.0235,0.0156,0.0151
-29.897,0.1688,0.1312,0.1237,0.1185,0.1067,0.0883,0.0803,0.0709,0.0604,0.0488,0.0377,0.0299,0.0231,0.0153,0.0159
-29.582,0.169,0.1313,0.1243,0.119,0.1072,0.0885,0.0804,0.071,0.0607,0.0488,0.0382,0.0299,0.0229,0.0155,0.0159
-29.267,0.1684,0.1315,0.1245,0.1192,0.1076,0.0889,0.0808,0.0714,0.0605,0.0495,0.0382,0.03,0.023,0.0154,0.0164
-28.953,0.1685,0.1323,0.1247,0.1199,0.108,0.0889,0.0807,0.0714,0.0609,0.0496,0.0381,0.0301,0.023,0.0155,0.016
-28.638,0.1694,0.132,0.1255,0.1199,0.1082,0.0892,0.0812,0.0716,0.0613,0.0497,0.0381,0.0303,0.0233,0.0151,0.0157
-28.323,0.1696,0.1324,0.1257,0.1196,0.1087,0.0897,0.0816,0.0723,0.0615,0.0495,0.0384,0.0304,0.0232,0.0155,0.0155
-28.009,0.1704,0.1329,0.1261,0.1183,0.1094,0.0901,0.0819,0.0724,0.0614,0.05,0.0385,0.0305,0.0235,0.0157,0.0158
-27.694,0.1719,0.133,0.1265,0.117,0.1094,0.0902,0.082,0.0726,0.0617,0.0502,0.0382,0.0303,0.0231,0.0154,0.0165
-27.379,0.1724,0.134,0.1271,0.1168,0.1091,0.0904,0.0824,0.0726,0.0625,0.0504,0.0383,0.0308,0.0239,0.0159,0.0161
-27.065,0.1732,0.1347,0.1273,0.1176,0.1085,0.0912,0.0833,0.0734,0.0625,0.0503,0.0387,0.0306,0.0234,0.0156,0.0161
-26.75,0.1741,0.1351,0.1267,0.1209,0.1086,0.0917,0.0834,0.0737,0.0627,0.0504,0.0387,0.0309,0.0236,0.0161,0.0158
-26.435,0.1751,0.1356,0.1247,0.1228,0.1093,0.0918,0.0836,0.0738,0.0627,0.0509,0.0386,0.0306,0.0236,0.0156,0.0161
-26.12,0.1756,0.1364,0.1222,0.1234,0.1106,0.0919,0.0837,0.074,0.0634,0.0513,0.0388,0.031,0.0235,0.0159,0.0164
-25.806,0.1764,0.1372,0.1205,0.1238,0.112,0.0924,0.0842,0.0744,0.0635,0.0513,0.039,0.031,0.0236,0.0155,0.016
-25.491,0.1778,0.1373,0.1219,0.1241,0.1126,0.0929,0.0846,0.0748,0.0638,0.0511,0.0393,0.0314,0.0239,0.0161,0.0156
-25.176,0.1781,0.1376,0.1271,0.1238,0.1132,0.0934,0.0849,0.0752,0.0637,0.052,0.0393,0.0313,0.024,0.0159,0.0162
-24.862,0.178,0.1381,0.1305,0.1232,0.1138,0.0935,0.0849,0.0752,0.0641,0.052,0.0394,0.0314,0.0237,0.0161,0.0171
-24.547,0.1781,0.1386,0.1313,0.1216,0.1138,0.0937,0.0853,0.0754,0.0644,0.0522,0.0395,0.0315,0.0243,0.0161,0.0166
-24.232,0.1784,0.1389,0.1315,0.1193,0.1138,0.0944,0.0856,0.0759,0.0647,0.0518,0.04,0.0315,0.0238,0.0159,0.0161
-23.917,0.1795,0.1391,0.1315,0.1186,0.1133,0.0946,0.086,0.0761,0.0649,0.0524,0.0402,0.0317,0.0242,0.0163,0.0162
-23.603,0.1799,0.1393,0.1311,0.1236,0.1123,0.0947,0.086,0.0763,0.0649,0.0525,0.0403,0.0314,0.0239,0.0157,0.0169
-23.288,0.1807,0.1401,0.1302,0.1275,0.1116,0.0949,0.0863,0.0765,0.0655,0.0528,0.0403,0.0316,0.0241,0.0161,0.0165
-22.973,0.1817,0.1407,0.1276,0.1279,0.1132,0.0957,0.0869,0.0772,0.0658,0.0525,0.0405,0.0318,0.024,0.0161,0.016
-22.659,0.1829,0.141,0.1241,0.1281,0.1162,0.0959,0.0871,0.0775,0.0659,0.0527,0.0407,0.0328,0.0253,0.0175,0.0159
-22.344,0.1841,0.1415,0.1215,0.1283,0.117,0.096,0.0872,0.0778,0.0659,0.0532,0.041,0.0328,0.0253,0.0167,0.0163
-22.029,0.1849,0.142,0.1296,0.1291,0.1172,0.0963,0.0874,0.0779,0.0663,0.0536,0.0411,0.0326,0.0243,0.0161,0.0163
-21.715,0.1847,0.1429,0.1351,0.1295,0.1175,0.0969,0.0881,0.0784,0.0664,0.0535,0.0411,0.0331,0.025,0.0166,0.016
-21.4,0.185,0.1431,0.1358,0.1298,0.1182,0.0973,0.0883,0.0783,0.0665,0.0534,0.0415,0.0333,0.0262,0.018,0.0159
-21.085,0.1856,0.1434,0.1357,0.1306,0.1186,0.0976,0.0885,0.0785,0.0666,0.0541,0.0417,0.0332,0.0258,0.017,0.0161
